"id","destination","passanger","weather","temperature","time","coupon","expiration","gender","age","maritalStatus","has_children","education","occupation","income","car","Bar","CoffeeHouse","CarryAway","RestaurantLessThan20","Restaurant20To50","toCoupon_GEQ5min","toCoupon_GEQ15min","toCoupon_GEQ25min","direction_same","direction_opp","Y","Age_Group","Time_of_Day","Coupon_Status"
"A32371","No Urgent Place","Friend(s)","Sunny",55,"10AM","Restaurant(<20)","2h","Male","26","Single",0,"Some college - no degree","Unemployed","$87500 - $99999","","never","1~3","4~8","less1","never",1,1,0,0,1,"1","50 Below","Morning",NA
"A33577","Home","Kid(s)","Sunny",55,"10PM","Restaurant(20-50)","1d","Female","41","Married partner",1,"Associates degree","Unemployed","$62500 - $74999","","less1","less1","less1","less1","less1",1,1,0,1,0,"0","50 Below","Night",NA
"A33757","No Urgent Place","Partner","Sunny",80,"10AM","Restaurant(20-50)","1d","Female","31","Married partner",0,"Some college - no degree","Computer & Mathematical","$100000 or More","","less1","less1","gt8","4~8","less1",1,0,0,0,1,"1","50 Below","Morning",NA
"A34003","No Urgent Place","Friend(s)","Sunny",80,"6PM","Restaurant(<20)","2h","Male","31","Married partner",1,"Bachelors degree","Computer & Mathematical","$75000 - $87499","","1~3","never","less1","less1","less1",1,0,0,0,1,"1","50 Below","Evening",NA
"A34359","No Urgent Place","Friend(s)","Rainy",55,"10PM","Bar","2h","Male","21","Single",0,"Bachelors degree","Unemployed","$50000 - $62499","","less1","1~3","1~3","less1","less1",1,1,0,0,1,"1","50 Below","Night",NA
"A34495","No Urgent Place","Alone","Sunny",80,"10AM","Coffee House","2h","Male","31","Married partner",1,"Some college - no degree","Farming Fishing & Forestry","$37500 - $49999","","less1","less1","less1","1~3","less1",1,1,0,0,1,"1","50 Below","Morning",NA
"A35575","No Urgent Place","Partner","Sunny",80,"10AM","Restaurant(20-50)","1d","Male","41","Married partner",0,"Bachelors degree","Unemployed","$87500 - $99999","","Unknown","Unknown","Unknown","Unknown","Unknown",1,0,0,0,1,"1","50 Below","Morning",NA
"A35598","No Urgent Place","Kid(s)","Sunny",80,"2PM","Restaurant(20-50)","1d","Male","31","Single",1,"Associates degree","Installation Maintenance & Repair","$37500 - $49999","","1~3","4~8","1~3","1~3","less1",1,0,0,0,1,"0","50 Below","Afternoon",NA
"A35884","Work","Alone","Sunny",55,"7AM","Bar","1d","Male","36","Unmarried partner",0,"Bachelors degree","Education&Training&Library","$25000 - $37499","","less1","never","4~8","gt8","less1",1,1,1,0,1,"1","50 Below","Morning",NA
"A35919","No Urgent Place","Friend(s)","Sunny",80,"10AM","Carry out & Take away","2h","Female","36","Married partner",1,"Graduate degree (Masters or Doctorate)","Healthcare Practitioners & Technical","$87500 - $99999","","less1","less1","1~3","4~8","less1",1,1,0,0,1,"1","50 Below","Morning",NA
"A37282","Home","Partner","Sunny",30,"10PM","Bar","2h","Female","41","Married partner",1,"Associates degree","Unemployed","$62500 - $74999","","less1","less1","less1","less1","less1",1,1,1,0,1,"0","50 Below","Night",NA
"A37547","Home","Alone","Sunny",80,"6PM","Coffee House","1d","Male","26","Single",0,"Bachelors degree","Business & Financial","$100000 or More","","4~8","1~3","1~3","1~3","less1",1,1,0,0,1,"1","50 Below","Evening",NA
"A37927","Home","Alone","Sunny",55,"6PM","Bar","1d","Female","31","Single",0,"Graduate degree (Masters or Doctorate)","Life Physical Social Science","$50000 - $62499","","1~3","4~8","4~8","4~8","4~8",1,0,0,1,0,"1","50 Below","Evening",NA
"A38788","No Urgent Place","Alone","Sunny",55,"2PM","Restaurant(<20)","1d","Male","26","Married partner",0,"Bachelors degree","Life Physical Social Science","$37500 - $49999","","less1","1~3","1~3","1~3","less1",1,0,0,0,1,"1","50 Below","Afternoon",NA
"A39460","No Urgent Place","Friend(s)","Sunny",55,"2PM","Carry out & Take away","1d","Female","46","Single",0,"Some college - no degree","Sales & Related","$25000 - $37499","","never","never","1~3","less1","less1",1,1,0,0,1,"1","50 Below","Afternoon",NA
"A39607","Home","Alone","Sunny",80,"6PM","Carry out & Take away","1d","Female","26","Unmarried partner",0,"Bachelors degree","Community & Social Services","$37500 - $49999","","less1","never","1~3","less1","never",1,0,0,0,1,"1","50 Below","Evening",NA
"A40206","No Urgent Place","Friend(s)","Sunny",80,"2PM","Coffee House","2h","Male","21","Married partner",0,"Some college - no degree","Education&Training&Library","$25000 - $37499","","never","never","1~3","1~3","less1",1,1,0,0,1,"0","50 Below","Afternoon",NA
"A40224","Work","Alone","Sunny",80,"7AM","Carry out & Take away","1d","Female","31","Married partner",0,"Some college - no degree","Unemployed","$50000 - $62499","","never","never","1~3","gt8","1~3",1,0,0,1,0,"1","50 Below","Morning",NA
"A40675","Home","Alone","Snowy",30,"10PM","Restaurant(<20)","2h","Male","21","Single",0,"Bachelors degree","Student","$25000 - $37499","","1~3","4~8","4~8","1~3","Unknown",1,1,1,0,1,"0","50 Below","Night",NA
"A41779","No Urgent Place","Friend(s)","Sunny",80,"2PM","Coffee House","1d","Male","below21","Single",0,"Some college - no degree","Student","$62500 - $74999","","never","1~3","1~3","never","1~3",1,0,0,0,1,"1","50 Below","Afternoon",NA
"A42390","No Urgent Place","Alone","Sunny",80,"10PM","Restaurant(<20)","1d","Male","50plus","Married partner",1,"Some college - no degree","Office & Administrative Support","$62500 - $74999","","1~3","never","1~3","1~3","less1",1,0,0,0,1,"1","50 Above","Night",NA
"A44203","No Urgent Place","Partner","Sunny",80,"2PM","Restaurant(20-50)","1d","Female","50plus","Married partner",0,"Bachelors degree","Sales & Related","$50000 - $62499","","1~3","4~8","less1","1~3","less1",1,0,0,0,1,"1","50 Above","Afternoon",NA
"A44219","No Urgent Place","Partner","Sunny",30,"10AM","Bar","1d","Male","26","Single",0,"Bachelors degree","Sales & Related","$75000 - $87499","","never","never","less1","less1","less1",1,1,0,0,1,"0","50 Below","Morning",NA
"A44352","Work","Alone","Sunny",80,"7AM","Restaurant(20-50)","2h","Male","36","Unmarried partner",0,"Some college - no degree","Construction & Extraction","$25000 - $37499","","never","4~8","4~8","less1","less1",1,0,0,1,0,"1","50 Below","Morning",NA
"A44353","No Urgent Place","Alone","Sunny",55,"10AM","Coffee House","2h","Female","31","Single",0,"Graduate degree (Masters or Doctorate)","Life Physical Social Science","$50000 - $62499","","1~3","4~8","4~8","4~8","4~8",1,0,0,0,1,"1","50 Below","Morning",NA
"A47023","Work","Alone","Sunny",55,"7AM","Coffee House","2h","Female","36","Married partner",1,"Bachelors degree","Education&Training&Library","$50000 - $62499","","Unknown","1~3","4~8","1~3","1~3",1,1,1,0,1,"0","50 Below","Morning",NA
"A47531","Home","Alone","Sunny",55,"6PM","Restaurant(20-50)","1d","Female","31","Single",0,"Bachelors degree","Transportation & Material Moving","$25000 - $37499","","less1","1~3","4~8","gt8","less1",1,1,0,0,1,"1","50 Below","Evening",NA
"A47735","Work","Alone","Sunny",80,"7AM","Coffee House","2h","Female","26","Unmarried partner",0,"Some college - no degree","Student","$25000 - $37499","","never","less1","1~3","1~3","less1",1,1,0,1,0,"0","50 Below","Morning",NA
"A48247","No Urgent Place","Friend(s)","Sunny",30,"10PM","Carry out & Take away","1d","Male","31","Single",0,"Bachelors degree","Office & Administrative Support","$25000 - $37499","","never","less1","less1","less1","less1",1,1,0,0,1,"1","50 Below","Night",NA
"A51133","No Urgent Place","Kid(s)","Sunny",55,"2PM","Restaurant(<20)","1d","Male","26","Married partner",1,"Bachelors degree","Computer & Mathematical","$25000 - $37499","","less1","1~3","1~3","1~3","1~3",1,1,0,0,1,"1","50 Below","Afternoon",NA
"A51287","No Urgent Place","Friend(s)","Snowy",30,"10AM","Carry out & Take away","1d","Female","50plus","Married partner",1,"Some college - no degree","Arts Design Entertainment Sports & Media","$37500 - $49999","","never","1~3","never","1~3","less1",1,1,0,0,1,"0","50 Above","Morning",NA
"A52078","Work","Alone","Snowy",30,"7AM","Restaurant(20-50)","1d","Male","36","Unmarried partner",1,"Some college - no degree","Building & Grounds Cleaning & Maintenance","$25000 - $37499","","1~3","less1","1~3","1~3","less1",1,1,1,0,1,"1","50 Below","Morning",NA
"A52540","No Urgent Place","Friend(s)","Rainy",55,"10PM","Bar","2h","Male","21","Unmarried partner",0,"High School Graduate","Sales & Related","$37500 - $49999","","never","less1","4~8","4~8","less1",1,1,0,0,1,"0","50 Below","Night",NA
"A53087","Home","Alone","Rainy",55,"6PM","Bar","1d","Male","31","Single",0,"Bachelors degree","Education&Training&Library","$50000 - $62499","","never","never","1~3","1~3","1~3",1,1,1,0,1,"0","50 Below","Evening",NA
"A53113","No Urgent Place","Alone","Sunny",80,"10AM","Coffee House","1d","Female","50plus","Single",0,"Bachelors degree","Installation Maintenance & Repair","$25000 - $37499","","never","4~8","4~8","gt8","less1",1,1,0,0,1,"1","50 Above","Morning",NA
"A54080","No Urgent Place","Alone","Sunny",80,"10AM","Coffee House","2h","Male","21","Single",0,"Bachelors degree","Legal","$87500 - $99999","","1~3","never","less1","less1","less1",1,1,0,0,1,"0","50 Below","Morning",NA
"A54552","Home","Alone","Sunny",55,"6PM","Bar","1d","Female","36","Married partner",1,"Bachelors degree","Unemployed","$87500 - $99999","","less1","1~3","1~3","less1","less1",1,0,0,1,0,"1","50 Below","Evening",NA
"A54658","Home","Kid(s)","Sunny",55,"10PM","Restaurant(20-50)","1d","Male","31","Married partner",1,"Bachelors degree","Computer & Mathematical","$75000 - $87499","","1~3","never","less1","less1","less1",1,1,0,1,0,"0","50 Below","Night",NA
"A54943","Home","Alone","Sunny",30,"6PM","Carry out & Take away","1d","Male","41","Divorced",1,"High School Graduate","Sales & Related","$12500 - $24999","","never","less1","less1","1~3","4~8",1,0,0,0,1,"1","50 Below","Evening",NA
"A55010","Home","Alone","Sunny",80,"6PM","Coffee House","1d","Female","50plus","Divorced",1,"Graduate degree (Masters or Doctorate)","Sales & Related","$37500 - $49999","","less1","1~3","4~8","1~3","less1",1,0,0,1,0,"1","50 Above","Evening",NA
